32174df,LucBoulanger,3 weeks ago,API.py - fixed hardcoded version numbers (hopefully)
785a68c,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
bda24f6,Harold Hodgins,3 weeks ago,python app 'should' now work with concurrent users
13d4269,Harold Hodgins,3 weeks ago,Removed dupicate function from API.py
ddd0492,maichongju,3 weeks ago,Update Course get_grade_items, All a liitle comment for API get_grade_item. (I know i am not suppose to,  but i just added it for feture understand)
58953b4,JGorospe24,3 weeks ago,Formatting & Whitespace
befc616,JGorospe24,3 weeks ago,Added comments to required functions
0f6ffad,JGorospe24,3 weeks ago,Updated comments
25d688b,JGorospe24,3 weeks ago,Comments outside of functions
095242b,JGorospe24,3 weeks ago,Moved comment
8154291,DeepRaithatha,3 weeks ago,provide descriptions/links for technical resources section
07fe9e1,Troy Nechanicky,3 weeks ago,reverted bad change to API.php
d7ebb25,DeepRaithatha,3 weeks ago,provide descriptions/links for technical resources section
a1155db,DeepRaithatha,3 weeks ago,SPMP edit
3bbd7b3,DeepRaithatha,3 weeks ago,SPMP DOC edit
6d62759,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
fce89fc,Harold Hodgins,3 weeks ago,Fixed broken grade_functions.py
38f5fd3,simonphothitay,3 weeks ago,Modified GradeTest.py setup and tests
225cbe2,DeepRaithatha,3 weeks ago,adding links to definitions
be7a95b,maichongju,3 weeks ago,Fix API get_course_enrollment
8491bbb,Hind-Althabi,3 weeks ago,in python version, change Heroku to Apache as support for Flask Apps, and add Apache to  the diagram
71d8b51,Harold Hodgins,3 weeks ago,Update coding_standards.txt
3e72f6b,JGorospe24,3 weeks ago,Changed NULL to null
1d9e63e,JGorospe24,3 weeks ago,Ordered functions as per design
338b15b,JGorospe24,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
208e37e,JGorospe24,3 weeks ago,Ordered functions as per Design
6066c22,Harold Hodgins,3 weeks ago,Removed old grade pattern.
4648a1b,DeepRaithatha,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
b2b6e3d,DeepRaithatha,3 weeks ago,get_user_enrollments
2be0044,JGorospe24,3 weeks ago,Ordered the functions as per design
6d64bc2,LucBoulanger,3 weeks ago,GradeItem.py - Made put_grade_item() abstract in base class
8fbabc4,maichongju,3 weeks ago,Update API get_course_enrollments
b2ac177,maichongju,3 weeks ago,Update get_course_enrollments comment
3790da4,Sarah Johnston,3 weeks ago,Update .gitignore
e581f37,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
5f70f1d,Sarah Johnston,3 weeks ago,Added js to do smooth scroll to top of modal when user resubmits
ba176cc,Sarah Johnston,3 weeks ago,Made feedback box larger and form wider
41cccd9,Sarah Johnston,3 weeks ago,Added loading thing
45c47e5,Sarah Johnston,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
cf0f366,Sarah Johnston,3 weeks ago,Only shows courses that user is TA or Instructor for, can always change the  array. Changed GET_USER_ENROLLMENTS route to the one that shows user role info
c8bf1e4,Sarah Johnston,3 weeks ago,upload.php only shows members with user_role student now
7b0ca3d,pirajeev_prabaharan,3 weeks ago,Unit Testing File for Course.py
318e985,Sumeet Jhand,3 weeks ago,Added unit tests for GradeItem.py
5e11788,AndrewJChua,3 weeks ago,OrgMember Python Testing v1
524435d,kostaa-k,3 weeks ago,Get_APi_Versions Test
a62a915,Simon Phothitay,3 weeks ago,Changed testing print to testing assert for GradeTest.py
dc206fd,xyfke,3 weeks ago,Fix up minor error I made
e4d1f9f,Sarah Johnston,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
fdbfbb7,Sarah Johnston,3 weeks ago,GradeItem PUT works. Frontend for updating grade max works with backend
e4da5ac,xyfke,3 weeks ago,Update modify_grade_max function by call put_grade_item function
9a1a292,Sarah Johnston,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
c9bde27,Sarah Johnston,3 weeks ago,Everything works again.
e6e9ea5,Sarah Johnston,3 weeks ago,Dynamic search now works with org_id
0c9e2a7,Sarah Johnston,3 weeks ago,Now PUTs grades
08d89be,Harold Hodgins,3 weeks ago,Fixed imports for the last time hopefully
7ea7da4,Sarah Johnston,3 weeks ago,Added function to get grades. Grades in course will now show on report page in table
5ea8776,MarkKokan,3 weeks ago,Add references to definitions in Requirements document
47f759c,Troy Nechanicky,3 weeks ago,minor edits to documentation
112e561,Troy Nechanicky,3 weeks ago,reverted design file back to good file
1605c1a,xyfke,3 weeks ago,Provided entire JSON block instead of partial blcok to when calling put function
a8814ae,xyfke,4 weeks ago,Edit modify_grade_max function in app.py
1c19d6a,pirajeev_prabaharan,4 weeks ago,APP.py host url change
74d92b4,Harold Hodgins,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
ed2096b,Harold Hodgins,4 weeks ago,Updated imports in API.py
6fc091c,Sarah Johnston,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
ce2dd0f,Sarah Johnston,4 weeks ago,When you click on grade item, brings you to upload page. Now gets students from API and they are searchable
e52ac04,Harold Hodgins,4 weeks ago,Updated python getting started file
352e501,Harold Hodgins,4 weeks ago,Logging enabled in python. Not fully configured but functional
e3e4dd9,Harold Hodgins,4 weeks ago,Updated ignore file to ignore log files
db0b986,Harold Hodgins,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
01ff6f2,Harold Hodgins,4 weeks ago,Updated app.py to print out exceptions in show_courses and set_grades. Need to move to logging when implimented
9b96f40,Harold Hodgins,4 weeks ago,Updated Course.py to use API.get_grade_items() and API.get_class_list(). Need to replace printing with proper logging
e11bfe6,Harold Hodgins,4 weeks ago,Fixed bug caused by deepcopy in User.get_courses()
c9d216f,Sarah Johnston,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
4379d4b,Sarah Johnston,4 weeks ago,API.php, OrgMember.php, GradeItem.php now working. Logout now working, except if user checks off to stay signed in, they will be immediately signed in again. courses.php shows all courses now and name
05f1e59,Harold Hodgins,4 weeks ago,Fixed wrapper imports
0f3cdf9,xyfke,4 weeks ago,modify_grade_max() added to app.py
8dbaec9,Tyler Gwynn,4 weeks ago,small typo in wrapper analysis
cdb63de,Tyler Gwynn,4 weeks ago,wrapper analysis and requirements: grammar and table of contents, image resize
bde6dee,Tyler Gwynn,4 weeks ago,wrapper analysis and requirements: grammar and table of contents, image resize
